tconst	averageRating	numVotes
tt0000153	5.7	544
tt0000154	3.8	16
tt0000155	5.1	29
tt0000156	3.9	24
tt0000157	3.9	16
tt0000158	3.1	16
tt0000159	5.1	156
tt0000160	5.2	28
tt0000161	3.6	15
tt0000162	5.4	503
tt0000163	5.0	14
tt0000164	5.0	333
tt0000165	4.7	143
tt0000166	3.6	19
tt0000167	4.1	164
tt0000168	2.9	18
tt0000169	3.8	58
tt0000170	5.2	287
tt0000171	3.4	18
tt0000172	6.1	1105
tt0000173	4.6	46
tt0000174	4.5	142
tt0000175	4.9	247
tt0000176	4.7	14
tt0000177	4.6	256
tt0000178	5.2	257
tt0000179	4.7	47
tt0000181	6.6	62
tt0000182	4.8	593
tt0000183	5.9	36
tt0000184	4.9	344
tt0000186	4.7	24
tt0000187	4.9	63
tt0000188	3.6	12
tt0000190	4.7	156
tt0000192	4.5	195
tt0000194	5.4	85
tt0000196	4.7	31
tt0000197	4.2	21
tt0000198	4.2	21
tt0000199	4.0	14
tt0000201	6.6	27
tt0000204	5.6	14
tt0000205	4.8	33
tt0000206	5.4	15
tt0000207	5.4	14
tt0000208	5.7	604
tt0000209	4.9	35
tt0000210	5.0	37
tt0000211	7.4	4937
tt0000213	4.7	271
tt0000214	4.0	116
tt0000215	4.0	138
tt0000218	5.9	748
tt0000219	6.6	32
tt0000222	4.6	263
tt0000223	5.4	19
tt0000225	4.9	38
tt0000228	4.9	313
tt0000229	4.5	123
tt0000230	6.5	1901
tt0000231	3.4	22
tt0000234	6.2	81
tt0000235	6.2	1049
tt0000239	5.5	292
tt0000240	4.5	96
tt0000242	6.4	1415
tt0000245	6.2	55
tt0000246	6.4	1127
tt0000247	4.9	543
tt0000248	6.1	1749
tt0000251	5.2	168
tt0000253	4.2	30
tt0000256	4.8	185
tt0000261	5.5	90
tt0000264	5.7	507
tt0000265	4.4	162
tt0000269	4.7	146
tt0000271	6.3	13
tt0000272	5.6	934
tt0000273	5.5	706
tt0000274	5.6	304
tt0000276	6.8	33
tt0000277	6.2	78
tt0000278	6.0	24
tt0000279	4.1	27
tt0000280	4.4	27
tt0000281	4.5	25
tt0000283	5.8	19
tt0000284	5.4	263
tt0000285	5.2	31
tt0000286	5.7	309
tt0000287	4.9	177
tt0000288	5.2	224
tt0000292	5.1	112
tt0000296	5.7	272
tt0000299	5.7	319
tt0000300	6.9	1483
tt0000301	4.4	477
tt0000302	5.2	304
tt0000304	6.0	1454
tt0000306	5.4	270
tt0000307	5.0	100
tt0000308	5.2	143
tt0000309	6.1	1011
tt0000310	7.4	36
tt0000313	5.8	868
tt0000318	5.9	15
tt0000319	5.7	299
tt0000321	4.8	249
tt0000328	5.5	16
tt0000335	5.9	58
tt0000337	4.9	389
tt0000340	4.9	345
tt0000341	4.9	406
tt0000346	4.7	251
tt0000347	4.4	126
tt0000349	5.5	151
tt0000350	5.7	800
tt0000352	5.4	67
tt0000353	5.1	394
tt0000355	6.2	823
tt0000357	5.8	532
tt0000358	6.2	814
tt0000359	7.1	3311
tt0000361	7.4	27
tt0000363	6.2	211
tt0000364	5.5	179
tt0000368	6.6	22
tt0000370	5.6	628
tt0000373	6.3	131
tt0000376	5.9	24
tt0000377	6.0	151
tt0000379	4.1	14
tt0000380	6.8	29
tt0000381	3.6	29
tt0000384	5.8	392
tt0000387	5.1	449
tt0000388	5.2	153
tt0000399	6.1	828
tt0000400	5.8	18
tt0000402	6.1	15
tt0000406	5.7	50
tt0000407	3.9	45
tt0000409	5.1	295
tt0000410	6.7	1130
tt0000412	4.4	32
tt0000413	5.5	529
tt0000414	5.4	835
